"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Player API","Delete Player","DEL06 - Delete with invalid player id returns 403","0","0","3","0","0"
"Player API","Delete Player","DEL02 - User cannot delete another user","1","0","0","0","0"
"Player API","Create Player","SC05 - Role-based access control","0","0","1","0","0"
"Player API","Create Player","SC10 - Invalid password is rejected","4","0","0","0","0"
"Player API","Create Player","SC12 - Role validation","2","0","4","0","0"
"Player API","Get Player","GET03 - Get deleted player returns 404","1","0","0","0","0"
"Player API","Delete Player","DEL03 - Admin deletes user","0","0","1","0","0"
"Player API","Create Player","SC07 - Duplicate screenName validation","1","0","0","0","0"
"Player API","Update Player","UPD-01 - Supervisor updates player","0","0","1","0","0"
"Player API","Create Player","SC11 - Invalid gender is rejected","6","0","1","0","0"
"Player API","Create Player","SC08 - Valid age is accepted","0","0","2","0","0"
"Player API","Create Player","SC09 - Invalid age is rejected","1","0","1","0","0"
"Player API","Get Player","GET01 - Get player by id returns correct player","0","0","1","0","0"
"Player API","Get Player","GET02 - Get player with invalid id returns 404","3","0","0","0","0"
"Player API","Create Player","SC06 - Duplicate login validation","1","0","0","0","0"
"Player API","Create Player","SC04 - Supervisor creates admin user","0","0","1","0","0"
"Player API","Create Player","SC03 - Admin creates valid user","0","0","1","0","0"
"Player API","Create Player","SC02 - Supervisor creates valid user","0","0","1","0","0"
"Player API","Get All Players","GETALL01 - Get all players returns non-empty list","0","0","1","0","0"
"Player API","Get Player","GET05 - Get player response should return hashed password","1","0","0","0","0"
"Player API","Get All Players","GETALL03 - Player ids in list must be unique","0","0","1","0","0"
"Player API","Delete Player","DEL05 - Admin cannot delete another admin","1","0","0","0","0"
"Player API","Get Player","GET04 - GET player is idempotent","0","0","1","0","0"
"Player API","Get All Players","GETALL04 - Player schema validation","1","0","0","0","0"
"Player API","Create Player","SC01 - Response contract validation","1","0","0","0","0"
"Player API","Delete Player","DEL01 - Supervisor deletes user","0","0","1","0","0"
"Player API","Delete Player","DEL07 - Delete player twice returns 403","0","0","1","0","0"
"Player API","Get All Players","GETALL02 - Player list contains created player","0","0","1","0","0"
"Player API","Delete Player","DEL04 - Admin can delete himself","0","0","1","0","0"
